Wavelength[nm],Intensity[normalized],Phase[rad]
857.11,0.09920695,-0.31117821
857.56,0.09660576,-0.31887276
858.00,0.09416464,-0.32643418
858.45,0.09344254,-0.33315873
858.89,0.09476770,-0.33910738
859.34,0.09663439,-0.34420513
859.79,0.09727675,-0.34838606
860.23,0.09757134,-0.35130602
860.68,0.09960802,-0.35324883
861.12,0.10364845,-0.35393239
861.57,0.10880619,-0.35314019
862.01,0.11468564,-0.34226399
862.46,0.12102035,-0.32732862
862.90,0.12611242,-0.31104658
863.35,0.12808976,-0.29374765
863.79,0.12754873,-0.27544855
864.24,0.12640591,-0.25644141
864.69,0.12506997,-0.23686954
865.13,0.12404585,-0.21688585
865.58,0.12548603,-0.19681702
866.02,0.12960834,-0.17691484
866.47,0.13390745,-0.15739490
866.91,0.13707300,-0.13847168
867.36,0.14022951,-0.12046528
867.80,0.14356777,-0.10341088
868.25,0.14572784,-0.08789881
868.69,0.14723026,-0.07381156
869.14,0.14927288,-0.07422563
869.58,0.15070601,-0.07707280
870.03,0.15018065,-0.08156253
870.47,0.14814355,-0.08749221
870.92,0.14610331,-0.09496542
871.36,0.14499747,-0.10386248
871.81,0.14458977,-0.11424298
872.25,0.14468107,-0.12549986
872.69,0.14587646,-0.13792589
873.14,0.14958935,-0.15144961
873.58,0.15597332,-0.16559285
874.03,0.16140068,-0.18040432
874.47,0.16209191,-0.19592869
874.92,0.15890808,-0.21195098
875.36,0.15545839,-0.22817758
875.81,0.15336163,-0.24458846
876.25,0.15208418,-0.26052815
876.70,0.15049481,-0.27638377
877.14,0.14672554,-0.29201989
877.58,0.14151431,-0.30720883
878.03,0.13970297,-0.32195193
878.47,0.14331555,-0.33599367
878.92,0.14810750,-0.34934520
